FAFSA Data by Demographic Characteristics,,,,,,,,,,,
2020-2021 Application Cycle ,,,,,,,,,,,
Data Element and Value,,,Initial Application,,,,,,,,
,,,2019,2020,,,,2021,,Total,Final Transaction Total
,,,Q1,Q2,Q3,Q4,Q5,Q6,Q7+,Total,Final Transaction Total
Total (Applicant Count),,,,,,,,,,,
,,,"5,505,138","4,173,414","3,316,794","2,771,359","921,442","757,014","421,208","17,866,369","17,866,369"
Gender, , ,,,,,,,,,
,Female,,"3,489,844","2,567,514","2,105,440","1,720,849","581,759","477,814","260,109","11,203,329","11,204,665"
,Male,,"2,015,211","1,605,731","1,211,255","1,050,348","339,431","278,904","160,947","6,661,827","6,659,773"
,Blank,,83,169,99,162,252,296,152,"1,213","1,931"
Age, , ,,,,,,,,,
,18 or Less,,"996,060","403,937","176,131","152,563","79,552","53,831","48,239","1,910,313","1,911,066"
,19 through 24,,"3,005,808","2,260,638","1,535,300","1,200,930","276,182","216,209","95,233","8,590,300","8,589,893"
,25 or Greater,,"1,503,248","1,508,804","1,605,322","1,417,837","565,668","486,952","277,709","7,365,540","7,365,334"
,Age Unknown,,22,35,41,29,40,22,27,216,76
Grade Entering, , ,,,,,,,,,
,"1st Year, Never Attended College Before",,"1,659,737","847,790","526,481","567,407","272,064","239,326","174,433","4,287,238","4,311,991"
,"1st Year, Attended College Before",,"647,461","563,873","534,728","568,119","241,263","203,604","97,863","2,856,911","2,922,935"
,2nd Year/Sophomore,,"1,098,049","816,325","619,340","469,909","105,520","78,497","34,267","3,221,907","3,223,372"
,3rd Year/Junior,,"916,559","727,112","533,189","384,964","89,254","67,155","28,169","2,746,402","2,695,688"
,4th Year/Senior,,"568,580","471,435","340,710","234,597","38,905","27,935","11,701","1,693,863","1,689,858"
,5th Year/Other Undergraduate,,"147,649","168,374","163,036","136,536","36,628","28,786","13,251","694,260","685,417"
,1st Year Graduate/Professional,,"190,074","233,389","242,203","175,882","70,653","58,661","32,211","1,003,073","1,012,268"
,Continuing Graduate/Professional,,"276,984","345,048","357,044","233,854","67,039","52,983","29,262","1,362,214","1,324,432"
,Blank,,45,68,63,91,116,67,51,501,408
Degree Pursuing, , ,,,,,,,,,
,1st Bachelor's Degree,,"3,472,358","2,228,605","1,451,025","1,052,561","303,075","241,522","140,145","8,889,291","8,865,516"
,2nd Bachelor's Degree,,"43,815","43,680","47,368","36,743","16,260","11,917","5,703","205,486","201,899"
,Associate Degree (Occupational or Technical),,"456,094","393,125","407,002","402,856","138,811","116,086","63,406","1,977,380","1,972,338"
,Associate Degree (General Education or Transfer),,"600,840","510,447","450,599","435,582","131,572","107,381","59,379","2,295,800","2,290,405"
,Certificate or Diploma (Less than 2 Years),,"139,087","173,286","179,564","228,920","119,468","110,141","59,377","1,009,843","1,060,955"
,Certificate or Diploma (At Least 2 Years),,"63,948","58,770","57,248","63,382","23,100","18,686","10,199","295,333","295,270"
,Teaching Credential (Nondegree),,"10,708","13,686","13,465","13,141","5,102","4,312","2,843","63,257","62,542"
,Graduate or Professional Degree,,"458,221","540,332","545,249","362,296","117,403","93,699","50,666","2,167,866","2,201,512"
,Other/Undecided,,"239,429","194,633","150,661","159,855","59,007","46,573","25,528","875,686","834,301"
,Blank,,"20,638","16,850","14,613","16,023","7,644","6,697","3,962","86,427","81,631"
Parent Education Level, , ,,,,,,,,,
,Neither Parent Completed College or Beyond,,"2,346,894","1,871,613","1,528,157","1,379,220","509,527","437,098","254,248","8,326,757","8,327,840"
,One Parent Completed College or Beyond,,"1,489,794","1,117,605","922,862","755,160","231,553","181,993","92,787","4,791,754","4,791,916"
,Both Parents Completed College or Beyond,,"1,668,450","1,184,196","865,775","636,979","180,362","137,923","74,173","4,747,858","4,746,613"
Pell Eligibility Status, , ,,,,,,,,,
,Pell Eligible,,"2,671,273","1,981,556","1,585,078","1,426,295","499,013","426,434","245,879","8,835,528","9,457,191"
,Pell Ineligible,,"2,833,865","2,191,858","1,731,716","1,345,064","422,429","330,580","175,329","9,030,841","8,409,178"
Dependency Status, , ,,,,,,,,,
,Dependent,,"3,539,014","2,220,027","1,310,495","1,016,526","237,678","171,770","91,651","8,587,161","8,562,207"
,Independent,,"1,966,124","1,953,387","2,006,299","1,754,833","683,764","585,244","329,557","9,279,208","9,304,162"
Renewal Application Status, , ,,,,,,,,,
,Original,,"2,545,661","1,744,162","1,524,990","1,558,038","713,549","620,184","368,509","9,075,093",N/A
,Renewal,,"2,959,477","2,429,252","1,791,804","1,213,321","207,893","136,830","52,699","8,791,276",N/A
Source of Application/Correction, , ,,,,,,,,,
