GEO_ID,NAME,B02001_001E,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
Geography,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some other race alone,Margin of Error!!Total:!!Some other race alone,Estimate!!Total:!!Two or more races:,Margin of Error!!Total:!!Two or more races:,Estimate!!Total:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
0400000US06,California,39346023,22053721,34243,2250962,7807,311629,6466,5834312,11618,149636,2459,5623747,33731,3122016,30556,1472235,23736,1649781,19341
0500000US01001,"Autauga County, Alabama",55639,42150,207,10866,347,155,102,649,174,24,37,374,283,1421,397,346,159,1075,373
0500000US01003,"Baldwin County, Alabama",218289,186504,1173,19153,728,1514,418,2033,352,10,16,3398,926,5677,1040,1519,486,4158,860
0500000US01005,"Barbour County, Alabama",25026,11587,160,11929,183,88,65,122,25,1,2,777,218,522,176,232,95,290,142
0500000US01007,"Bibb County, Alabama",22374,17138,95,5045,142,12,25,56,81,0,23,9,19,114,84,0,23,114,84
0500000US01009,"Blount County, Alabama",57755,54271,537,808,173,55,47,236,41,55,60,1037,499,1293,289,264,194,1029,214
0500000US01011,"Bullock County, Alabama",10173,2663,324,6980,140,0,19,137,117,0,19,318,324,75,80,7,13,68,76
0500000US01013,"Butler County, Alabama",19726,10183,76,8795,80,66,52,261,41,0,19,98,104,323,143,93,112,230,100
0500000US01015,"Calhoun County, Alabama",114324,83801,499,24190,494,358,242,925,186,327,135,1871,505,2852,446,262,164,2590,398
0500000US01017,"Chambers County, Alabama",33427,19015,116,13372,127,81,44,368,50,9,16,264,151,318,166,51,67,267,139
0500000US01019,"Cherokee County, Alabama",26035,23970,147,1250,120,150,124,26,35,0,23,212,121,427,173,82,82,345,160
0500000US01021,"Chilton County, Alabama",44147,36260,549,4268,420,504,388,195,55,0,26,1571,520,1349,479,543,181,806,416
0500000US01023,"Choctaw County, Alabama",12755,7253,57,5398,79,7,10,25,32,0,19,11,20,61,53,0,19,61,53
0500000US01025,"Clarke County, Alabama",23866,12520,85,10909,151,18,27,109,27,0,23,47,67,263,136,0,23,263,136
0500000US01027,"Clay County, Alabama",13285,11068,40,2035,94,20,31,33,37,0,19,6,17,123,83,27,25,96,77
0500000US01029,"Cleburne County, Alabama",14952,13955,81,394,67,21,28,1,6,0,19,281,83,300,71,3,9,297,71
0500000US01031,"Coffee County, Alabama",52238,39014,374,8906,370,523,136,843,288,0,29,675,310,2277,491,263,158,2014,474
0500000US01033,"Colbert County, Alabama",54957,43279,188,8909,300,313,140,282,56,57,48,985,211,1132,368,118,72,1014,369
0500000US01035,"Conecuh County, Alabama",12219,6176,99,5872,129,20,25,70,59,0,19,0,19,81,63,0,19,81,63
0500000US01037,"Coosa County, Alabama",10696,7052,145,3451,128,32,37,0,19,0,19,68,98,93,52,0,19,93,52
0500000US01039,"Covington County, Alabama",37096,31260,126,4707,131,78,58,245,78,32,44,133,122,641,146,21,37,620,141
0500000US01041,"Crenshaw County, Alabama",13826,9890,76,3267,163,104,51,183,7,8,12,58,75,316,158,23,36,293,152
