Year,FAFSA_CA_Dream_Act_Submitted,FAFSA_CA_Dream_Act_Completed,Cal_Grant_Submitted,Cal_Grant_Completed,Cal_Grant_Awarded,Enrollment,County,School_District,High_School,City
2023,403,354,403,354,139,1213,Sacramento,San Juan Unified,Visions In Education,Carmichael
2022,283,267,283,267,106,1182,Sacramento,San Juan Unified,Visions In Education,Carmichael
2022,853,823,853,823,359,1177,Los Angeles,Los Angeles Unified,Granada Hills Charter,Granada Hills
2023,965,913,909,874,357,1132,Riverside,Corona-Norco Unified,Eleanor Roosevelt High,Eastvale
2022,812,776,783,758,289,1131,Riverside,Corona-Norco Unified,Eleanor Roosevelt High,Eastvale
2023,859,825,859,825,344,1099,Los Angeles,Los Angeles Unified,Granada Hills Charter,Granada Hills
2022,813,765,791,751,368,1020,Los Angeles,Downey Unified,Downey High,Downey
2022,400,360,377,343,219,998,Los Angeles,Los Angeles Unified,City of Angels,Los Angeles
2022,778,710,755,695,361,997,Los Angeles,Long Beach Unified,Polytechnic High,Long Beach
2023,878,823,819,778,422,985,Los Angeles,Downey Unified,Downey High,Downey
2023,542,510,541,510,205,985,Los Angeles,Los Angeles Unified,El Camino Real Charter High,Woodland Hills
2022,681,618,658,603,451,970,Los Angeles,Paramount Unified,Paramount High,Paramount
2022,500,476,500,476,200,962,Los Angeles,Los Angeles Unified,El Camino Real Charter High,Woodland Hills
2023,667,598,612,553,426,946,Los Angeles,Paramount Unified,Paramount High,Paramount
2023,692,648,651,613,319,932,Los Angeles,Long Beach Unified,Polytechnic High,Long Beach
2022,721,674,710,668,224,902,San Diego,San Marcos Unified,San Marcos High,San Marcos
2022,676,632,654,620,208,888,Riverside,Corona-Norco Unified,Santiago High,Corona
2022,537,521,518,513,234,888,San Bernardino,Chaffey Joint Union High,Rancho Cucamonga High,Rancho Cucamonga
2022,460,436,423,405,233,885,Contra Costa,Pittsburg Unified,Pittsburg Senior High,Pittsburg
2022,605,557,590,550,227,882,San Bernardino,Chaffey Joint Union High,Etiwanda High,Etiwanda
2022,469,424,440,404,291,875,San Bernardino,Chaffey Joint Union High,Chaffey High,Ontario
2023,704,661,681,643,265,871,San Bernardino,Chaffey Joint Union High,Etiwanda High,Etiwanda
2022,554,531,535,522,197,865,Riverside,Murrieta Valley Unified,Vista Murrieta High,Murrieta
2023,505,481,468,449,219,860,Alameda,New Haven Unified,James Logan High,Union City
2023,732,693,698,669,225,857,San Diego,San Marcos Unified,San Marcos High,San Marcos
2023,661,629,618,598,285,855,Orange,Huntington Beach Union High,Fountain Valley High,Fountain Valley
2022,508,491,488,480,229,847,Orange,Huntington Beach Union High,Fountain Valley High,Fountain Valley
2022,467,430,450,419,191,844,Alameda,New Haven Unified,James Logan High,Union City
2023,619,610,597,592,54,841,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,San Ramon
2023,455,370,387,317,239,841,San Diego,Sweetwater Union High,Sweetwater High,National City
2022,553,498,523,481,237,838,Los Angeles,Long Beach Unified,Wilson High,Long Beach
2023,547,520,507,489,218,835,Riverside,Murrieta Valley Unified,Vista Murrieta High,Murrieta
2023,588,514,528,469,307,834,San Bernardino,Chaffey Joint Union High,Chaffey High,Ontario
2023,486,448,444,414,184,832,San Benito,San Benito High,Hollister High,Hollister
2023,596,537,545,502,273,827,Los Angeles,Long Beach Unified,Wilson High,Long Beach
2023,636,556,598,530,344,827,Orange,Santa Ana Unified,Santa Ana High,Santa Ana
2022,499,482,482,477,38,825,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,San Ramon
2023,724,655,690,630,392,818,Fresno,Sanger Unified,Sanger High,Sanger
2022,549,532,523,512,163,817,Alameda,Berkeley Unified,Berkeley High,Berkeley
2022,702,679,683,667,379,817,Los Angeles,Downey Unified,Warren (Earl) High,Downey
2022,663,624,639,613,226,814,Los Angeles,Long Beach Unified,Millikan High,Long Beach
2023,595,577,537,526,346,812,Contra Costa,Pittsburg Unified,Pittsburg Senior High,Pittsburg
2022,381,325,363,316,230,809,San Diego,Sweetwater Union High,Sweetwater High,National City
2023,510,494,467,460,207,799,Fresno,Clovis Unified,Clovis High,Clovis
2022,395,361,369,343,142,793,San Benito,San Benito High,Hollister High,Hollister
