GEO_ID,NAME,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
0500000US01001,"Autauga County, Alabama",108,86,12,47,0,29,15,24,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,37,65,57,0,29,0,29,0,29
0500000US01003,"Baldwin County, Alabama",1137,305,89,91,61,87,30,44,89,138,152,181,0,29,62,90,0,29,178,143,50,81,65,83,115,109,14,22,119,139,37,57,76,104
0500000US01005,"Barbour County, Alabama",200,80,70,63,0,23,42,50,0,23,10,16,6,11,6,10,37,44,1,2,0,23,0,23,8,13,20,26,0,23,0,23,0,23
0500000US01007,"Bibb County, Alabama",0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US01009,"Blount County, Alabama",259,146,0,29,0,29,25,46,26,27,68,87,4,7,0,29,0,29,11,20,10,17,46,63,10,14,14,18,45,72,0,29,0,29
0500000US01011,"Bullock County, Alabama",58,59,14,27,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,44,48,0,19,0,19,0,19,0,19,0,19,0,19
0500000US01013,"Butler County, Alabama",17,21,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,21,0,19,0,19,0,19,0,19
0500000US01015,"Calhoun County, Alabama",652,187,105,76,19,21,21,32,32,51,10,17,97,95,60,58,49,53,20,31,0,29,142,129,21,36,30,45,46,45,0,29,0,29
0500000US01017,"Chambers County, Alabama",89,57,0,26,0,26,0,26,0,26,0,26,0,26,0,26,33,48,0,26,0,26,0,26,10,18,46,44,0,26,0,26,0,26
0500000US01019,"Cherokee County, Alabama",116,63,26,37,0,23,0,23,43,67,0,23,0,23,47,54,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US01021,"Chilton County, Alabama",596,242,22,37,16,29,0,26,0,26,75,95,62,94,69,82,0,26,0,26,192,192,111,160,49,57,0,26,0,26,0,26,0,26
0500000US01023,"Choctaw County, Alabama",11,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,11,20,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US01025,"Clarke County, Alabama",0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23
0500000US01027,"Clay County, Alabama",1,2,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,1,2,0,19,0,19,0,19,0,19,0,19,0,19
